Side,Time
B,2018-01-07 23:34:24
B,2018-01-07 23:34:57
B,2018-01-07 23:38:02
B,2018-01-07 23:38:05
S,2018-01-07 23:38:23
B,2018-01-07 23:38:33
S,2018-01-07 23:38:51
B,2018-01-07 23:38:57
B,2018-01-07 23:40:29
B,2018-01-07 23:41:12
S,2018-01-07 23:42:52
S,2018-01-07 23:43:23
S,2018-01-07 23:43:29
S,2018-01-07 23:45:14
B,2018-01-07 23:46:02
S,2018-01-07 23:46:17
B,2018-01-07 23:46:51
B,2018-01-07 23:47:34
S,2018-01-07 23:47:54
S,2018-01-07 23:48:26
S,2018-01-07 23:48:54
S,2018-01-07 23:49:20
S,2018-01-07 23:49:47
S,2018-01-07 23:50:09
S,2018-01-07 23:50:27
S,2018-01-07 23:51:37
B,2018-01-07 23:53:08
S,2018-01-07 23:55:23
S,2018-01-07 23:56:13
B,2018-01-07 23:56:32
S,2018-01-07 23:56:40
B,2018-01-07 23:57:11
B,2018-01-07 23:58:18
S,2018-01-07 23:58:29
B,2018-01-07 23:58:37
B,2018-01-07 23:59:30
B,2018-01-08 00:00:49
B,2018-01-08 00:01:32
S,2018-01-08 00:01:46
B,2018-01-08 00:02:03
S,2018-01-08 00:02:59
B,2018-01-08 00:03:30
B,2018-01-08 00:03:38
B,2018-01-08 00:03:43
B,2018-01-08 00:04:52
S,2018-01-08 00:04:53
S,2018-01-08 00:05:19
B,2018-01-08 00:06:10
B,2018-01-08 00:07:21
S,2018-01-08 00:07:24
B,2018-01-08 00:07:41
B,2018-01-08 00:07:55
B,2018-01-08 00:08:19
S,2018-01-08 00:08:50
S,2018-01-08 00:09:12
S,2018-01-08 00:09:50
B,2018-01-08 00:10:09
B,2018-01-08 00:10:38
S,2018-01-08 00:10:42
S,2018-01-08 00:10:46
S,2018-01-08 00:11:36
S,2018-01-08 00:13:09
B,2018-01-08 00:13:20
S,2018-01-08 00:13:41
B,2018-01-08 00:14:23
S,2018-01-08 00:14:37
B,2018-01-08 00:15:04
S,2018-01-08 00:15:34
S,2018-01-08 00:16:31
S,2018-01-08 00:17:51
S,2018-01-08 00:19:02
B,2018-01-08 00:19:35
S,2018-01-08 00:21:19
B,2018-01-08 00:21:26
B,2018-01-08 00:22:10
B,2018-01-08 00:22:32
B,2018-01-08 00:22:46
S,2018-01-08 00:22:58
B,2018-01-08 00:23:36
B,2018-01-08 00:23:47
B,2018-01-08 00:23:55
S,2018-01-08 00:24:39
S,2018-01-08 00:25:16
S,2018-01-08 00:25:58
S,2018-01-08 00:26:47
B,2018-01-08 00:27:00
B,2018-01-08 00:27:55
S,2018-01-08 00:28:05
B,2018-01-08 00:28:19
B,2018-01-08 00:28:28
B,2018-01-08 00:28:32
S,2018-01-08 00:29:18
S,2018-01-08 00:29:22
B,2018-01-08 00:29:35
S,2018-01-08 00:30:13
S,2018-01-08 00:30:18
S,2018-01-08 00:31:00
S,2018-01-08 00:31:04
S,2018-01-08 00:31:19
B,2018-01-08 00:31:55
S,2018-01-08 00:32:06
B,2018-01-08 00:32:21
B,2018-01-08 00:33:32
S,2018-01-08 00:33:34
B,2018-01-08 00:34:30
B,2018-01-08 00:35:01
